Date,High,Low,Open,Close,Volume,Adj Close
2020-12-29,146.6699981689453,144.63999938964844,146.58999633789062,144.8699951171875,1015400.0,143.83840942382812
2020-12-30,147.33999633789062,145.0800018310547,145.47000122070312,146.88999938964844,1002600.0,145.8440399169922
2020-12-31,149.30999755859375,145.8300018310547,146.75,149.0,1353900.0,147.9390106201172
2021-01-04,149.75999450683594,146.0500030517578,149.67999267578125,149.14999389648438,2229500.0,148.0879364013672
2021-01-05,150.57000732421875,147.2899932861328,149.1999969482422,148.36000061035156,2907500.0,147.30357360839844
2021-01-06,158.25,152.14999389648438,152.30999755859375,156.50999450683594,3067000.0,155.39552307128906
2021-01-07,162.74000549316406,158.9499969482422,159.11000061035156,159.0,2520800.0,157.8677978515625
2021-01-08,159.22000122070312,156.10000610351562,158.47999572753906,158.19000244140625,1841000.0,157.06356811523438
2021-01-11,159.9600067138672,155.4600067138672,157.1999969482422,159.3800048828125,1978600.0,158.24510192871094
2021-01-12,162.64999389648438,159.5800018310547,161.0,161.72999572753906,2025100.0,160.57835388183594
2021-01-13,161.5,158.27999877929688,160.05999755859375,159.10000610351562,1986900.0,157.96710205078125
2021-01-14,162.07000732421875,159.5399932861328,160.11000061035156,161.5,2036900.0,160.35000610351562
2021-01-15,158.74000549316406,154.3699951171875,157.17999267578125,154.77999877929688,3285100.0,154.77999877929688
2021-01-19,156.52000427246094,154.2100067138672,155.75999450683594,156.0,2560800.0,156.0
2021-01-20,156.42999267578125,154.66000366210938,156.0,156.25999450683594,1635900.0,156.25999450683594
2021-01-21,156.2899932861328,152.99000549316406,156.2899932861328,153.69000244140625,2286000.0,153.69000244140625
2021-01-22,153.05999755859375,151.3300018310547,151.47000122070312,152.57000732421875,1835400.0,152.57000732421875
2021-01-25,151.10000610351562,146.8699951171875,150.36000061035156,150.47000122070312,2043900.0,150.47000122070312
2021-01-26,151.69500732421875,147.82000732421875,151.3699951171875,148.05999755859375,1740972.0,148.05999755859375
